throughput_bonus,trip_penalty,total_hybrid_z1_5_minus_physics_z0,total_bootstrap_95_ci_low,total_bootstrap_95_ci_high,total_positive_seed_fraction,residual_at_z1_5,uncertainty_without_residual
0.0,25.0,-0.42816343673264234,-0.48878447259747,-0.3685459820733667,0.09,-0.16420771772535184,-0.26395571900729053
1.0,25.0,-0.4424967700659764,-0.5064894751999249,-0.3803362726998154,0.09,-0.17204105105868553,-0.2704557190072908
2.0,25.0,-0.456830103399309,-0.5234314396450924,-0.3917432232643719,0.09,-0.17987438439201853,-0.27695571900729055
3.0,25.0,-0.47116343673264227,-0.5393626425165955,-0.4044031773465069,0.09,-0.18770771772535175,-0.28345571900729055
4.0,25.0,-0.4854967700659751,-0.5567345404007737,-0.4148376631455404,0.09,-0.1955410510586848,-0.2899557190072903
0.0,50.0,0.33433656326735767,0.1986457186512347,0.4704445952335124,0.64,-0.02254105105868516,0.35687761432604276
1.0,50.0,0.3200032299340237,0.18332460185742344,0.45732278368085666,0.62,-0.030374384392018845,0.3503776143260425
2.0,50.0,0.3056698966006909,0.16407742815377874,0.4466194792995925,0.61,-0.03820771772535188,0.3438776143260428
3.0,50.0,0.2913365632673577,0.1480384475686706,0.437493281456847,0.6,-0.04604105105868511,0.3373776143260428
4.0,50.0,0.27700322993402493,0.13032357799355834,0.4225475348886223,0.6,-0.05387438439201814,0.3308776143260431
0.0,75.0,1.0968365632673578,0.858855361359865,1.336375797912577,0.8,0.11912561560798152,0.9777109476593762
1.0,75.0,1.0825032299340238,0.8400058492655189,1.3215413503005715,0.78,0.11129228227464782,0.9712109476593759
2.0,75.0,1.0681698966006912,0.8247994384469536,1.316638882354333,0.76,0.10345894894131477,0.964710947659376
3.0,75.0,1.0538365632673576,0.8061395012633895,1.302957382158207,0.74,0.09562561560798157,0.958210947659376
4.0,75.0,1.039503229934025,0.7941151872759957,1.2892213729550803,0.74,0.08779228227464853,0.9517109476593762
0.0,100.0,1.8593365632673575,1.516289307267581,2.2055061869933983,0.83,0.2607922822746482,1.5985442809927095
1.0,100.0,1.8450032299340235,1.4995706005919043,2.1953279431635213,0.83,0.2529589489413145,1.5920442809927093
2.0,100.0,1.8306698966006911,1.4834843284453159,2.1801875915744673,0.83,0.24512561560798146,1.5855442809927096
3.0,100.0,1.8163365632673574,1.4655663773653904,2.1745751938118634,0.83,0.23729228227464824,1.5790442809927097
4.0,100.0,1.802003229934025,1.4463851294517507,2.1597060841470537,0.83,0.22945894894131516,1.57254428099271
0.0,150.0,3.3843365632673574,2.8259735061489457,3.9617804235097283,0.83,0.5441256156079816,2.840210947659376
1.0,150.0,3.370003229934024,2.8076877543923557,3.9450540933675935,0.83,0.5362922822746479,2.8337109476593763
2.0,150.0,3.3556698966006904,2.7908049544521463,3.924949570840995,0.83,0.5284589489413148,2.8272109476593767
3.0,150.0,3.3413365632673577,2.7856588758832332,3.9193704634006985,0.83,0.5206256156079816,2.820710947659377
4.0,150.0,3.327003229934024,2.7542785317830556,3.913242804784523,0.83,0.5127922822746486,2.8142109476593764
