seed,residual_at_z0,residual_at_z1_5,uncertainty_without_residual,uncertainty_with_residual,interaction
23000,0.8854144380497099,-1.5944146697258124,0.5520512752079014,-1.927777832567621,-2.4798291077755223
23001,0.4912326715577251,-0.3151694746477223,3.0306010120213123,2.2241988658158647,-0.8064021462054475
23002,0.0,0.016701368365983644,-0.3463827971499593,-0.3296814287839756,0.016701368365983644
23003,1.3920730783888189,0.6161917318105358,2.1767401384951413,1.400858791916858,-0.7758813465782831
23004,0.7130717482091479,0.0,0.3904244355591615,-0.3226473126499864,-0.7130717482091479
23005,-0.03276649540773491,-0.011775398582114368,2.515750017506479,2.5367411143321,0.02099109682562054
23006,0.0,0.8552116818546883,0.8972420015011977,1.752453683355886,0.8552116818546883
23007,0.013277550755984654,-0.3323376736782843,1.0468367821435909,0.701221557709322,-0.34561522443426895
23008,1.817213513591869,0.9020179467464663,3.7947980653439757,2.879602498498573,-0.9151955668454027
23009,1.3195339062339595,0.8515463460644076,1.5650171080631192,1.0970295478935672,-0.46798756016955184
23010,0.013240914279604018,0.0,0.23047975341077395,0.21723883913116993,-0.013240914279604018
23011,0.0015874979220432313,-0.6476887015898333,-0.26794041240862515,-0.9172166119205016,-0.6492761995118764
23012,1.3045870637141188,-0.3590942467026063,2.663653836053759,0.999972525637034,-1.663681310416725
23013,-0.9606996033254092,0.6336926385770951,-0.3370967284161968,1.2572955134863075,1.5943922419025043
23014,0.00772709286947304,-0.34622171664145895,0.9076547581364404,0.5537059486255084,-0.353948809510932
23015,1.2044132414683162,0.5938022587356642,3.0341647091101507,2.4235537263774987,-0.610610982732652
23016,-0.3465021985511143,0.6902411554317851,-0.3318166070161013,0.7049267469667981,1.0367433539828994
23017,-0.004352938579252452,0.01896119447231352,1.1028575032165833,1.1261716362681493,0.02331413305156597
23018,1.219277037381353,0.9075790186902472,0.6303710331405105,0.3186730144494045,-0.31169801869110597
23019,0.5333257619704668,0.9186828510279833,1.129249268896724,1.5146063579542404,0.3853570890575166
23020,0.8631022461177172,-0.30710584454747664,1.8661437071764577,0.6959356165112638,-1.170208090665194
23021,-0.002546126051091354,0.0026477386848000606,-0.6190634775037864,-0.613869612767895,0.005193864735891414
23022,-0.009596895370513892,-0.3457491309330341,0.23574373187022957,-0.10040850369229067,-0.3361522355625202
23023,-0.33863376922635996,0.005078570414681849,0.9139262365000889,1.2576385761411306,0.3437123396410418
23024,0.0,-0.36523299835913764,2.281988547425018,1.9167555490658803,-0.36523299835913764
23025,-0.013702149911497466,0.0007133321273258275,0.5600568220313372,0.5744723040701606,0.014415482038823294
23026,0.9011238663908117,-0.34361041129512654,1.5351656441904022,0.290431366504464,-1.2447342776859383
23027,2.16877558911235,0.9417720003638337,2.0602937062943973,0.833290117545881,-1.2270035887485164
23028,-1.292204350422035,-0.006721858611390037,-0.6751634981938514,0.6103189936167936,1.285482491810645
23029,-0.658037720872836,0.0,0.7777525872841101,1.435790308156946,0.658037720872836
23030,2.161000944916303,-0.35194606389270194,3.3409920992681656,0.8280450904591609,-2.512947008809005
23031,-0.06336308734609493,1.217661285669377,2.3002676834056763,3.581292056421148,1.281024373015472
23032,-0.04813827890507364,0.513527537498201,1.9924793991720857,2.5541452155753603,0.5616658164032747
23033,0.0,0.0,2.8440193941353393,2.8440193941353393,0.0
23034,-0.35008130909239793,0.012531549263101738,-0.6606997820073133,-0.2980869236518136,0.36261285835549967
23035,0.0,0.0,1.4777992983148707,1.4777992983148707,0.0
23036,0.0,-0.33849981389614925,0.002391519557875199,-0.33610829433827405,-0.33849981389614925
23037,-0.010518637881555529,0.01063898046577331,-0.31684034806026773,-0.2956827297129389,0.02115761834732884
23038,0.637480122408526,1.3065408655480961,0.8807247540988854,1.5497854972384555,0.66906074313957
23039,0.8801665728139435,0.00445935004591765,0.5349120962217953,-0.3407951265462306,-0.8757072227680259
23040,-0.3487163133721296,0.008483046614863099,-0.011263900055562695,0.34593545993143,0.3571993599869927
23041,1.2246262000788875,-0.6560620113939706,1.4867988155686926,-0.39388939590416544,-1.880688211472858
23042,0.0,0.03254866983197265,0.23940998243044476,0.2719586522624174,0.03254866983197265
23043,2.797971888580257,0.8496907854854262,2.2305094297390227,0.2822283266441919,-1.9482811030948308
23044,0.8117326636930168,0.890675272136446,-0.39976940256580445,-0.32082679412237525,0.0789426084434292
23045,-0.008914458089357424,0.004081960529572844,-0.09260526155411242,-0.07960884293518215,0.012996418618930269
23046,-0.35080344144005454,-0.32564664890657014,2.6391960301596433,2.6643528226931275,0.025156792533484424
23047,0.0,0.6764624497932132,-0.4610668944625047,0.21539555533070853,0.6764624497932132
